AAAAMMJJHH;Pluie
2011010100;0.0
2011010101;0.0
2011010102;0.0
2011010103;0.0
2011010104;0.0
2011010105;0.0
2011010106;0.0
2011010107;0.0
2011010108;0.0
2011010109;0.0
2011010110;0.0
2011010111;0.0
2011010112;0.0
2011010113;0.0
2011010114;0.0
2011010115;0.0
2011010116;0.0
2011010117;0.0
2011010118;0.0
2011010119;0.0
2011010120;0.0
2011010121;0.0
2011010122;0.0
2011010123;0.0
2011010200;0.0
2011010201;0.0
2011010202;0.0
2011010203;0.0
2011010204;0.0
2011010205;0.0
2011010206;0.0
2011010207;0.0
2011010208;0.0
2011010209;0.0
2011010210;0.0
2011010211;0.0
2011010212;0.0
2011010213;0.0
2011010214;0.0
2011010215;0.0
2011010216;0.0
2011010217;0.0
2011010218;0.0
2011010219;0.0
2011010220;0.0
2011010221;0.0
2011010222;0.0
2011010223;0.0
2011010300;0.0
2011010301;0.0
2011010302;0.0
2011010303;0.0
2011010304;0.0
2011010305;0.0
2011010306;0.0
2011010307;0.0
2011010308;0.0
2011010309;0.0
2011010310;0.0
2011010311;0.0
2011010312;0.0
2011010313;0.0
2011010314;0.0
2011010315;0.0
2011010316;0.0
2011010317;0.0
2011010318;0.0
2011010319;0.0
2011010320;0.0
2011010321;0.0
2011010322;0.0
2011010323;0.0
2011010400;0.0
2011010401;0.0
2011010402;0.0
2011010403;0.0
2011010404;0.0
2011010405;0.0007407407407407408
2011010406;0.0
2011010407;0.0
2011010408;0.19777777777777777
2011010409;0.4622222222222222
2011010410;0.2740740740740741
2011010411;0.5014814814814815
2011010412;0.07777777777777778
2011010413;0.0
2011010414;0.0
2011010415;0.0
2011010416;0.01111111111111111
2011010417;0.0
2011010418;0.0
2011010419;0.0
2011010420;0.0
2011010421;0.0
2011010422;0.0
2011010423;0.0
2011010500;0.0
2011010501;0.0
2011010502;0.0
2011010503;0.0
2011010504;0.0
2011010505;0.0
2011010506;0.0
2011010507;0.0
2011010508;0.0
2011010509;0.0
2011010510;0.0
2011010511;0.0
2011010512;0.0
2011010513;0.0
2011010514;0.0
2011010515;0.0014814814814814816
2011010516;0.0
2011010517;0.0007407407407407408
2011010518;0.0
2011010519;0.0
2011010520;0.06592592592592592
2011010521;0.0
2011010522;0.0
2011010523;0.0
2011010600;0.0
2011010601;0.0
2011010602;0.0
2011010603;0.1362962962962963
2011010604;0.5007407407407407
2011010605;0.9199999999999999
2011010606;1.1933333333333334
2011010607;1.0355555555555556
2011010608;1.1022222222222222
2011010609;2.0014814814814814
2011010610;1.305925925925926
2011010611;1.3511111111111112
2011010612;1.1888888888888889
2011010613;0.28074074074074074
2011010614;0.0
2011010615;0.0
2011010616;0.0
2011010617;0.026666666666666665
2011010618;0.14370370370370372
2011010619;0.15185185185185185
2011010620;0.0
2011010621;0.02074074074074074
2011010622;0.0
2011010623;0.0
2011010700;0.0
2011010701;0.0
2011010702;0.0
2011010703;0.0
2011010704;0.0
2011010705;0.0
2011010706;0.0
2011010707;0.0
2011010708;0.0
2011010709;0.0
2011010710;0.0
2011010711;0.0
2011010712;0.0
2011010713;0.0
2011010714;0.0
2011010715;0.0
2011010716;0.0
2011010717;0.0
2011010718;0.0
2011010719;0.0
2011010720;0.0
2011010721;0.0
2011010722;0.0
2011010723;0.0
2011010800;0.015555555555555555
2011010801;0.04518518518518518
2011010802;0.0
2011010803;0.0
2011010804;0.0
2011010805;0.0
2011010806;0.0
2011010807;0.0
2011010808;0.0
2011010809;0.0
2011010810;0.0
2011010811;0.0
2011010812;0.0
2011010813;0.0
2011010814;0.0
2011010815;0.0
2011010816;0.0
2011010817;0.0
2011010818;0.0
2011010819;0.0
2011010820;0.0
2011010821;0.0
2011010822;0.0
2011010823;0.0
2011010900;0.0
2011010901;0.0
2011010902;0.0
2011010903;0.0
2011010904;0.0
2011010905;0.0
2011010906;0.0
2011010907;0.0007407407407407408
2011010908;0.0
2011010909;0.0
2011010910;0.0
2011010911;0.0
2011010912;0.0
2011010913;0.0014814814814814816
2011010914;0.007407407407407407
2011010915;0.09407407407407407
2011010916;0.09925925925925926
2011010917;0.0
2011010918;0.0
